,neg_
0,abuse
1,ads
2,advertisement
3,afraid
4,aggrav
5,annoy
6,anomaly
7,awkward
8,bad
9,bent
10,biased
11,biting
12,blah
13,bleed
14,bore
15,boredom
16,bother
17,break
18,broke
19,broken
20,bug
21,buggy
22,bulky
23,burning
24,cave
25,chatter
26,cheaply
27,clog
28,clumsy
29,clunky
30,clutter
31,complain
32,complaint
33,complex
34,complicated
35,concern
36,confus
37,cons
38,costly
39,crack
40,crash
41,crime
42,criticism
43,crush
44,cumbersome
45,damag
46,dangerous
47,dead
48,deaf
49,deceptive
50,defect
51,defective
52,delay
53,demon
54,despise
55,destructive
56,detracts
57,die
58,difficult
59,difficulty
60,dim
61,disallow
62,disappoint
63,disaster
64,disconcerting
65,discontinued
66,dislik
67,dislike
68,distract
69,disturb
70,doubt
71,doubts
72,downfall
73,downside
74,drain
75,drastically
76,drawback
77,dubious
78,dying
79,error
80,expensive
81,fail
82,fatigue
83,fault
84,flaw
85,flicker
86,flimsy
87,fool
88,freez
89,froze
90,frustrat
91,frustrating
92,fuzzy
93,glare
94,glitch
95,glitchy
96,grate
97,greed
98,hack
99,hard
100,hassle
101,hate
102,hesitant
103,horrible
104,hurt
105,hype
106,ignor
107,impaired
108,imposs
109,inability
110,inappropriate
111,inferior
112,insane
113,insensitive
114,insult
115,interruption
116,intrusive
117,invasive
118,issu
119,issue
120,jealous
121,jeopardy
122,jerk
123,junk
124,lack
125,lag
126,lame
127,lazy
128,liars
129,lie
130,limit
131,loathe
132,loose
133,lose
134,loss
135,low
136,mad
137,matter
138,mess
139,mindless
140,misinformed
141,misleading
142,miss
143,missing
144,mistake
145,mystery
146,needless
147,negative
148,nervous
149,nois
150,nonexistent
151,nonresponsive
152,object
153,odd
154,overloaded
155,overpriced
156,pain
157,poor
158,poorly
159,pricey
160,pricier
161,problem
162,problems
163,proprietary
164,punch
165,questionable
166,refus
167,regret
168,reluctant
169,restrict
170,return
171,rough
172,ruin
173,sad
174,sadly
175,scared
176,sceptical
177,scratches
178,scratchy
179,setback
180,severe
181,shake
182,shocked
183,shortcomings
184,silly
185,skeptical
186,skip
187,slow
188,slower
189,slowly
190,sluggish
191,snob
192,spendy
193,split
194,spooky
195,stalls
196,stark
197,sticky
198,strain
199,struggl
200,stuck
201,stumbled
202,stupid
203,sucks
204,superfluous
205,terrible
206,tired
207,touchy
208,trick
209,tricky
210,trouble
211,unable
212,unavailable
213,unbelievable
214,unbelievably
215,unclear
216,uncomfortable
217,unexpected
218,unfortunate
219,unfortunately
220,unknown
221,unnecessary
222,unprepared
223,unsure
224,unusual
225,unwanted
226,unwilling
227,upset
228,useless
229,wait
230,waiting
231,wary
232,wast
233,weak
234,weary
235,weird
236,wonder
237,worn
238,worri
239,worse
240,worst
241,worthless
242,wound
243,wrong
