itemId,itemname,Category
1,"Brand New Amazon Kindle Fire 16gb 7"" Ips Display Tablet Wifi 16 Gb Blue",Kindle
2,Amazon Fire TV with 4K Ultra HD and Alexa Voice Remote (Pendant Design) | Streaming Media Player,TV
3,Amazon 9W PowerFast Official OEM USB Charger and Power Adapter for Fire Tablets and Kindle eReaders,Adapter
4,"Fire Tablet, 7 Display, Wi-Fi, 16 GB - Includes Special Offers, Black",Tablet
5,"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",Tablet
6,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 32 GB - Includes Special Offers, Blue",Tablet
7,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Green Kid-Proof Case",Tablet
8,"Fire HD 10 Tablet, 10.1 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Silver Aluminum",Tablet
9,"Kindle E-reader - White, 6 Glare-Free Touchscreen Display, Wi-Fi - Includes Special Offers",Kindle
10,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Blue",Tablet
11,Amazon Tap - Alexa-Enabled Portable Bluetooth Speaker,Speaker
12,Amazon - Kindle Voyage - 4GB - Wi-Fi + 3G - Black,Kindle
13,"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 32 GB - Includes Special Offers, Black",Tablet
14,"Fire Tablet with Alexa, 7"" Display, 16 GB, Magenta - with Special Offers",Tablet
15,"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 32 GB - Includes Special Offers, Magenta",Tablet
16,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Blue Kid-Proof Case",Tablet
17,"Kindle Oasis E-reader with Leather Charging Cover - Merlot, 6 High-Resolution Display (300 ppi), Wi-Fi - Includes Special Offers",Kindle
18,"Kindle Oasis E-reader with Leather Charging Cover - Black, 6"" High-Resolution Display (300 ppi), Wi-Fi - Includes Special Offers",Kindle
19,"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)",Kindle
20,Amazon - Echo Plus w/ Built-In Hub - Silver,Speaker
21,"Amazon - Kindle Voyage - 6"" - 4GB - Black",Kindle
22,"Fire HD 8 Tablet with Alexa, 8"" HD Display, 32 GB, Tangerine - with Special Offers",Tablet
23,"Amazon Echo Show Alexa-enabled Bluetooth Speaker with 7"" Screen",Speaker
